meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
2017 FG Senior Championships,55.35,28/07/2017,Women 100 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,1,1,832,Coral Springs,USA
XXIII Juegos CAC-Barranquilla,55.41,25/07/2018,Women 100 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,2,2,812,Barranquilla,COL
Arena Pro Series Orlando 2015,56.06,14/02/2015,Women 100 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,3,3,801,Orlando,USA
SE June Invitational 2016,56.08,03/06/2016,Women 100 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,4,4,800,Knoxville,USA
17th Pan American Games 2015,56.29,14/07/2015,Women 100 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,5,791,Toronto,CAN
2016 FG Southern Zone South Sectional,56.52,13/03/2016,Women 100 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,6,6,781,Plantation,USA
Arena Pro Series Orlando 2015,56.81,14/02/2015,Women 100 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,7,7,769,Orlando,USA
SE June Invitational 2016,56.93,03/06/2016,Women 100 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,8,8,765,Knoxville,USA
14th Pan American Games 2003,57.21,12/08/2003,Women 100 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Janelle",F,30/09/1982,,,9,9,,Santo Domingo,DOM
Bahamas National Championships (50m),57.25,26/06/2021,Women 100 Freestyle LCM Female,JAM,Jamaica,"CAMPBELL, Kelsie Leigh",F,10/04/1998,,,10,10,736,Nassau,BAH
Bahamas National Championships (50m),57.37,26/06/2021,Women 100 Freestyle LCM Female,JAM,Jamaica,"CAMPBELL, Kelsie Leigh",F,10/04/1998,,,11,11,732,Nassau,BAH
14th Pan American Games 2003,57.68,12/08/2003,Women 100 Freestyle LCM Female,JAM,Jamaica,"CHUCK, Angela",F,14/02/1981,,,12,12,,Santo Domingo,DOM
13th FINA World Championships 2009,57.71,30/07/2009,Women 100 Freestyle LCM Female,JAM,Jamaica,"MOODIE, Natasha",F,08/10/1990,,,13,13,,Rome,ITA
14th Pan American Games 2003,57.72,12/08/2003,Women 100 Freestyle LCM Female,JAM,Jamaica,"CHUCK, Angela",F,14/02/1981,,,14,14,,Santo Domingo,DOM
34th CARIFTA Swimming Championships 2019,57.89,22/04/2019,Women 100 Freestyle LCM Female,JAM,Jamaica,"LYN, Sabrina",F,26/04/2004,,,15,15,712,Bridgetown,BAR
14th Pan American Games 2003,57.97,12/08/2003,Women 100 Freestyle LCM Female,JAM,Jamaica,"ATKINSON, Janelle",F,30/09/1982,,,16,16,,Santo Domingo,DOM
17th Pan American Games 2015,57.98,14/07/2015,Women 100 Freestyle LCM Female,JAM,Jamaica,"ROMAN, Breanna Marie Laurin",F,25/10/1995,,,17,17,724,Toronto,CAN
17th Pan American Games 2015,58.03,14/07/2015,Women 100 Freestyle LCM Female,JAM,Jamaica,"ROMAN, Breanna Marie Laurin",F,25/10/1995,,,18,18,722,Toronto,CAN
