meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
British Gas National Championships (50m),54.18,10/04/2014,Men 100 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,1,1,777,Glasgow,GBR
ASA Youth MC & Open Champs 2014,54.48,05/08/2014,Men 100 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,2,2,764,Sheffield,GBR
British Gas National Championships (50m),54.61,10/04/2014,Men 100 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,3,3,759,Glasgow,GBR
US Nats Time Trials 2015,54.71,10/08/2015,Men 100 Butterfly LCM Male,JAM,Jamaica,"PLASCHKA, Justin",M,12/08/1996,,,4,4,755,San Antonio,USA
XXIII Juegos CAC-Barranquilla,54.74,24/07/2018,Men 100 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,5,5,753,Barranquilla,COL
Philipps 66 National Championships - Time Trial,55.61,01/08/2019,Men 100 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,6,6,719,Palo Alto,USA
18th FINA World Championships 2019,55.66,26/07/2019,Men 100 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,7,7,717,Gwangju,KOR
29th Summer Universiade 2017,55.92,24/08/2017,Men 100 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,8,8,707,Taipei City,TPE
Toyota US Open 2020,56.18,13/11/2020,Men 100 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,9,9,684,Different Area,USA
14th FINA World Championships 2011,56.48,29/07/2011,Men 100 Butterfly LCM Male,JAM,Jamaica,"HAMILTON, Brad",M,20/11/1989,,,10,10,686,Shanghai,CHN
ISCA International Senior Cup 2021,56.49,26/03/2021,Men 100 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,11,11,672,St. Petersburg,USA
13th FINA World Championships 2009,56.56,31/07/2009,Men 100 Butterfly LCM Male,JAM,Jamaica,"HAMILTON, Brad",M,20/11/1989,,,12,12,,Rome,ITA
17th FINA World Championships 2017,56.59,25/07/2017,Men 100 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,13,13,682,Budapest,HUN
Swimcup Amsterdam,56.62,15/12/2019,Men 100 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,14,14,681,Amsterdam,NED
