meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
2017 FL Southern Zone So Sectional (50m),59.94,07/07/2017,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,1,1,792,Orlando,USA
XXIII Juegos CAC-Barranquilla,01:00.13,25/07/2018,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,2,2,785,Barranquilla,COL
2015 FG Speedo Sectional Championships,01:00.61,13/03/2015,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,3,3,787,Plantation,USA
2017 FL Southern Zone So Sectional (50m),01:00.83,07/07/2017,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,4,4,758,Orlando,USA
Mesa Grand Prix 2014,01:00.87,24/04/2014,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,5,5,777,Mesa,USA
2014 FG Speedo Champions Series -,01:01.16,13/03/2014,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,6,6,766,Plantation,USA
16th Pan American Games 2011,01:01.17,15/10/2011,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,7,7,769,Guadalajara,MEX
Mesa Grand Prix 2014,01:01.38,24/04/2014,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,8,8,758,Mesa,USA
16th Pan American Games 2011,01:01.41,15/10/2011,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,9,9,760,Guadalajara,MEX
UANA Qualifier For Tokyo hosted by Azura and Montverde Swimming 2021,01:01.73,01/05/2021,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,10,10,725,Orlando,USA
15th Pan American Games 2007,01:02.40,17/07/2007,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,11,11,,Rio de Janeiro,BRA
Bahamas National Championships (50m),01:02.52,24/06/2021,Women 100 Butterfly LCM Female,JAM,Jamaica,"CAMPBELL, Kelsie Leigh",F,10/04/1998,,,12,12,698,Nassau,BAH
Bahamas National Championships (50m),01:02.66,24/06/2021,Women 100 Butterfly LCM Female,JAM,Jamaica,"CAMPBELL, Kelsie Leigh",F,10/04/1998,,,13,13,694,Nassau,BAH
20th Commonwealth Games 2014,01:02.85,24/07/2014,Women 100 Butterfly LCM Female,JAM,Jamaica,"PATRICK, Trudiann",F,21/09/1995,,,14,14,706,Glasgow,GBR
15th Pan American Games 2007,01:02.91,16/07/2007,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,15,15,,Rio de Janeiro,BRA
15th Pan American Games 2007,01:02.92,18/07/2007,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,16,16,,Rio de Janeiro,BRA
34th CARIFTA Swimming Championships 2019,01:03.19,20/04/2019,Women 100 Butterfly LCM Female,JAM,Jamaica,"LYN, Sabrina",F,26/04/2004,,,17,17,676,Bridgetown,BAR
34th CARIFTA Swimming Championships 2019,01:03.47,20/04/2019,Women 100 Butterfly LCM Female,JAM,Jamaica,"LYN, Sabrina",F,26/04/2004,,,18,18,667,Bridgetown,BAR
TYR Pro Swim Series,01:03.53,11/04/2019,Women 100 Butterfly LCM Female,JAM,Jamaica,"ATKINSON, Alia",F,11/12/1988,,,19,19,665,Richmond,USA
7th FINA World Junior Swimming Championships 2019,01:03.63,24/08/2019,Women 100 Butterfly LCM Female,JAM,Jamaica,"ALVARANGA, Zaneta",F,09/12/2004,,,20,20,662,Budapest,HUN
UANA Qualifier For Tokyo hosted by Azura and Montverde Swimming 2021,01:03.76,01/05/2021,Women 100 Butterfly LCM Female,JAM,Jamaica,"CAMPBELL, Kelsie Leigh",F,10/04/1998,,,21,21,658,Orlando,USA
UANA Qualifier For Tokyo hosted by Azura and Montverde Swimming 2021,01:03.95,01/05/2021,Women 100 Butterfly LCM Female,JAM,Jamaica,"CAMPBELL, Kelsie Leigh",F,10/04/1998,,,22,22,652,Orlando,USA
14th Pan American Games 2003,01:03.95,15/08/2003,Women 100 Butterfly LCM Female,JAM,Jamaica,"SWABY, Tamara",F,06/12/1979,,,22,23,,Santo Domingo,DOM
14th Pan American Games 2003,01:03.95,15/08/2003,Women 100 Butterfly LCM Female,JAM,Jamaica,"SWABY, Tamara",F,06/12/1979,,,22,24,,Santo Domingo,DOM
Jamaican Junior National Championships (50m),01:04.12,22/02/2020,Women 100 Butterfly LCM Female,JAM,Jamaica,"LYN, Sabrina",F,26/04/2004,,,25,25,647,Kingston,JAM
Y Speedos Swim Club Karl Dalhouse Memorial Invitational 2020,01:04.16,02/02/2020,Women 100 Butterfly LCM Female,JAM,Jamaica,"LYN, Sabrina",F,26/04/2004,,,26,26,646,Kingston,JAM
Walter Rogers Age Group Swimming National Championships 2019,01:04.19,23/02/2019,Women 100 Butterfly LCM Female,JAM,Jamaica,"ALVARANGA, Zaneta",F,09/12/2004,,,27,27,645,Kingston,JAM
20th Commonwealth Games 2014,01:04.25,24/07/2014,Women 100 Butterfly LCM Female,JAM,Jamaica,"BAILEY, Zara",F,03/12/1995,,,28,28,661,Glasgow,GBR
17th Commonwealth Games 2002,01:04.25,01/08/2002,Women 100 Butterfly LCM Female,JAM,Jamaica,"SWABY, Tamara",F,06/12/1979,,,28,29,,Manchester,GBR
32nd CCCAN Swimming Championships 2019,01:04.37,29/06/2019,Women 100 Butterfly LCM Female,JAM,Jamaica,"LYN, Sabrina",F,26/04/2004,,,30,30,640,Bridgetown,BAR
