meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
BUCS Short Course 2017,01:48.28,11/11/2017,Men 200 Freestyle SCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,1,1,772,Sheffield,GBR
Manchester International Meet,01:48.55,24/10/2015,Men 200 Freestyle SCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,2,2,767,Manchester,GBR
BUCS Short Course 2016,01:48.89,12/11/2016,Men 200 Freestyle SCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,3,3,759,Sheffield,GBR
12th FINA World Swimming Championships (25m) 2014,01:49.63,03/12/2014,Men 200 Freestyle SCM Male,JAM,Jamaica,"CAMPBELL, Nico",M,21/06/1997,,,4,4,744,Doha,QAT
13th FINA World Swimming Championships (25m) 2016,01:52.43,07/12/2016,Men 200 Freestyle SCM Male,JAM,Jamaica,"WALTER, Dominic Anthony",M,17/12/1992,,,5,5,690,Windsor,CAN
Manchester International Meet 2019,01:53.10,19/10/2019,Men 200 Freestyle SCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,6,6,678,Manchester,GBR
12th FINA World Swimming Championships (25m) 2014,01:53.60,03/12/2014,Men 200 Freestyle SCM Male,JAM,Jamaica,"ATKINSON, Jevon",M,03/04/1984,,,7,7,669,Doha,QAT
7th FINA World Swimming Championships (25m) 2004,01:54.95,07/10/2004,Men 200 Freestyle SCM Male,JAM,Jamaica,"HAMILTON, Brad",M,20/11/1989,,,8,8,,Indianapolis,USA
13th FINA World Swimming Championships (25m) 2016,01:56.94,06/12/2016,Men 200 Freestyle SCM Male,JAM,Jamaica,"WALTER, Dominic Anthony",M,17/12/1992,,,9,9,613,Windsor,CAN
9th FINA World Swimming Championships (25m) 2008,01:58.96,09/04/2008,Men 200 Freestyle SCM Male,JAM,Jamaica,"WONG, Jonathan",M,18/01/1989,,,10,10,,Manchester,GBR
FINA Swimming World Cup 2004-2005,02:00.08,12/02/2005,Men 200 Freestyle SCM Male,JAM,Jamaica,"HAMILTON, Brad",M,20/11/1989,,,11,11,,New York,USA
