meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
British National Championships (50m),03:55.00,14/04/2015,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,1,1,821,London,GBR
British Gas National Championships (50m),03:56.65,10/04/2014,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,2,2,804,Glasgow,GBR
Edinburgh International 2017,03:57.77,12/03/2017,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,3,3,792,Edinburgh,NED
British National Championships (50m),03:57.82,18/04/2017,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,4,4,792,Sheffield,GBR
British Championships 2016,03:58.02,12/04/2016,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,5,5,790,Glasgow,GBR
BUCS Long Course 2017,03:59.17,19/02/2017,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,6,6,779,Sheffield,GBR
BUCS Long Course 2016,03:59.27,21/02/2016,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,7,7,778,Sheffield,GBR
Edinburgh International,04:00.01,02/03/2018,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,8,8,770,Edinburgh,GBR
Catalonian Open JR & Senior SW Championships,04:00.20,20/01/2012,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,9,9,769,Barcelona,ESP
BUCS Long Course 2015,04:00.28,22/02/2015,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,10,10,768,Sheffield,GBR
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2015,04:00.49,06/06/2015,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,11,11,766,Canet-en-Roussillon,FRA
South Zonal 2015,04:00.88,31/01/2015,Men 400 Freestyle LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,12,12,762,London,GBR
20th Commonwealth Games 2014,04:09.53,24/07/2014,Men 400 Freestyle LCM Male,JAM,Jamaica,"WALTER, Dominic Anthony",M,17/12/1992,,,13,13,685,Glasgow,GBR
34th CARIFTA Swimming Championships 2019,04:14.61,23/04/2019,Men 400 Freestyle LCM Male,JAM,Jamaica,"VALE, Nicholas",M,06/05/2001,,,14,14,645,Bridgetown,BAR
7th FINA World Junior Swimming Championships 2019,04:16.02,20/08/2019,Men 400 Freestyle LCM Male,JAM,Jamaica,"VALE, Nicholas",M,06/05/2001,,,15,15,635,Budapest,HUN
32nd CCCAN Swimming Championships 2019,04:18.57,02/07/2019,Men 400 Freestyle LCM Male,JAM,Jamaica,"VALE, Nicholas",M,06/05/2001,,,16,16,616,Bridgetown,BAR
32nd CCCAN Swimming Championships 2019,04:18.82,02/07/2019,Men 400 Freestyle LCM Male,JAM,Jamaica,"VALE, Nicholas",M,06/05/2001,,,17,17,614,Bridgetown,BAR
20th Commonwealth Games 2014,04:26.33,28/07/2014,Men 400 Freestyle LCM Male,JAM,Jamaica,"WALTER, Dominic Anthony",M,17/12/1992,,,18,18,564,Glasgow,GBR
