meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
British National Championships (50m),01:58.55,27/07/2016,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,1,1,832,Sheffield,GBR
British Gas National Championships (50m),01:59.13,10/04/2014,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,2,2,820,Glasgow,GBR
British Championships 2016,01:59.31,13/04/2016,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,3,3,816,Glasgow,GBR
British National Championships (50m),01:59.53,15/04/2015,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,4,4,811,London,GBR
British Swimming Championships (50m),01:59.60,17/04/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,5,5,810,Glasgow,GBR
British Championships 2016,01:59.79,13/04/2016,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,6,6,806,Glasgow,GBR
British National Championships (50m),01:59.83,19/04/2017,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,7,7,805,Sheffield,GBR
British Gas National Championships (50m),01:59.86,10/04/2014,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,8,8,805,Glasgow,GBR
British Summer National Championships (50m),01:59.91,30/07/2015,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,9,9,804,Sheffield,GBR
TYR Pro Swim Mission Viejo 2021,02:00.03,09/04/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,10,10,785,Mission Viejo,USA
British National Championships (50m),02:00.16,19/04/2017,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,11,11,799,Sheffield,GBR
ASA Youth MC & Open Champs 2014,02:00.22,05/08/2014,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,12,12,798,Sheffield,GBR
Olympic Games Tokyo 2020,02:00.25,26/07/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,13,13,780,Tokyo,JPN
British Gas National Championships (50m),02:00.39,26/06/2013,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,14,14,794,Sheffield,GBR
British National Championships (50m),02:00.59,15/04/2015,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,15,15,790,London,GBR
Edinburgh International,02:00.92,01/03/2018,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,16,16,784,Edinburgh,GBR
TYR Pro Swim Mission Viejo 2021,02:01.00,09/04/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,17,17,766,Mission Viejo,USA
British Gas National Championships (50m),02:01.29,26/06/2013,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,18,18,777,Sheffield,GBR
BUCS Long Course 2017,02:01.38,19/02/2017,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,19,19,775,Sheffield,GBR
Meeting International circuit FFN - Golden tour,02:01.43,15/02/2015,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,20,20,774,Amiens,FRA
British Gas Nat Youth MC Championships 2012,02:01.53,17/07/2012,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,21,21,772,Sheffield,GBR
National Youth and Senior Championships 2013,02:01.56,30/07/2013,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,22,22,771,Sheffield,GBR
18th Pan American Games 2019,02:01.68,06/08/2019,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,23,23,769,Lima,PER
ISCA International Senior Cup 2021,02:01.71,27/03/2021,Men 200 Butterfly LCM Male,JAM,Jamaica,"DOLS, Keanan",M,24/07/1998,,,24,24,753,St. Petersburg,USA
17th FINA World Championships 2017,02:01.73,25/07/2017,Men 200 Butterfly LCM Male,JAM,Jamaica,"GUNNING, Michael James",M,29/04/1994,,,25,25,768,Budapest,HUN
